Frame,Landmark,x,y,z
1,0,0.6858479976654053,0.5291506052017212,0.3507641851902008
1,1,0.6825714707374573,0.520307183265686,0.34312868118286133
1,2,0.6811807155609131,0.519067108631134,0.3430439829826355
1,3,0.6771305203437805,0.516370415687561,0.3431241512298584
1,4,0.6907347440719604,0.5259165167808533,0.3378433585166931
1,5,0.6968680620193481,0.5297876596450806,0.3376166522502899
1,6,0.7003100514411926,0.5284157991409302,0.33758991956710815
1,7,0.6730557680130005,0.5161625146865845,0.28062525391578674
1,8,0.7019903659820557,0.5359097123146057,0.25588640570640564
1,9,0.6794520616531372,0.5316370129585266,0.33183327317237854
1,10,0.6874901056289673,0.5364494323730469,0.32351502776145935
1,11,0.6383728981018066,0.521379828453064,0.2198304682970047
1,12,0.7260348796844482,0.5644278526306152,0.1434716284275055
1,13,0.5869450569152832,0.634878933429718,0.19286219775676727
1,14,0.7150220274925232,0.6929817199707031,0.07420192658901215
1,15,0.5777575969696045,0.7087286710739136,0.20270060002803802
1,16,0.7080299854278564,0.8189278841018677,0.08597765862941742
1,17,0.5704360604286194,0.7184603810310364,0.20852850377559662
1,18,0.7075703144073486,0.8450400829315186,0.07547034323215485
1,19,0.5840043425559998,0.7183445692062378,0.20793554186820984
1,20,0.7020765542984009,0.8453710079193115,0.09190855920314789
1,21,0.5901045799255371,0.7155874371528625,0.20388944447040558
1,22,0.7010714411735535,0.8226513266563416,0.09257028996944427
1,23,0.6154411435127258,0.633689820766449,0.01845036819577217
1,24,0.6722759008407593,0.6556277871131897,-0.01898415945470333
1,25,0.5739030838012695,0.7809436321258545,0.0768386721611023
1,26,0.6849546432495117,0.7764952182769775,0.08139938116073608
1,27,0.547782301902771,0.9428821802139282,0.02515171281993389
1,28,0.6633171439170837,0.9263190031051636,0.07798047363758087
1,29,0.5457655787467957,0.9728827476501465,0.017970161512494087
1,30,0.653976321220398,0.9539188146591187,0.07805373519659042
1,31,0.5390985608100891,0.9515630006790161,-0.03357795625925064
1,32,0.6668238043785095,0.9596858024597168,0.05219019949436188
2,0,0.6972505450248718,0.5370678901672363,0.317712664604187
2,1,0.6950790882110596,0.5254243612289429,0.31197506189346313
2,2,0.6931945085525513,0.5236818194389343,0.31187963485717773
2,3,0.6899356842041016,0.5208727717399597,0.3119450807571411
2,4,0.7019789814949036,0.5317873954772949,0.2996736168861389
2,5,0.7051831483840942,0.5350542068481445,0.29946890473365784
2,6,0.7075508832931519,0.5360546708106995,0.29945385456085205
2,7,0.6836917400360107,0.5180193781852722,0.2572749853134155
2,8,0.7085596919059753,0.537896990776062,0.20122891664505005
2,9,0.6917858123779297,0.5368571281433105,0.3019982874393463
