time_index,frame_number,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle
0.0,0,41.210868031539746,30.983318628718415,157.92439785588883,161.76083452466844
0.03333333333333333,1,45.3624874121056,38.01741470985809,157.94929475795152,160.83771533570473
0.06666666666666667,2,47.21285337152745,42.049903300609756,154.71937416982942,161.00649201105205
0.1,3,46.8157003486358,40.316202710065184,151.7716129532788,160.2623941834358
0.13333333333333333,4,46.421325185296375,38.82258603795549,150.8211578258762,159.93299892661102
0.16666666666666666,5,45.00609372913134,38.325737841457226,152.0525237222053,160.13277341397782
0.2,6,42.48483293669384,34.70076929218649,152.8657794726544,159.25449255922283
0.23333333333333334,7,40.18362178966631,34.51537460017121,154.166486087489,157.59528384626483
0.26666666666666666,8,38.31540686263952,33.58036884552523,153.33208979247243,157.14604415048728
0.3,9,38.355075423951604,31.401655364397673,150.12494088928938,155.28085097831956
0.3333333333333333,10,37.632089578126866,31.370742487813487,153.24380642549917,154.08819111808992
0.36666666666666664,11,40.20206618782947,31.04772015347602,148.75930353456485,153.01627675996323
0.4,12,39.92838662223061,32.079253073688754,144.09558087300664,152.84717585911565
0.43333333333333335,13,40.283906321418414,32.26577302695074,142.8471465617172,154.16168931839672
0.4666666666666667,14,37.608601414113004,29.225638348978084,140.49465486548428,154.47973447893628
0.5,15,36.90324603894877,27.693937751351292,139.47610585556652,155.20786963711063
0.5333333333333333,16,36.282528134187906,26.241697264484166,139.933970672489,156.11309417081426
0.5666666666666667,17,35.375386943424495,27.45580804572926,142.22232487281588,156.01108094651417
0.6,18,36.62901997981171,27.969122405315915,144.95666654183458,155.81670537427593
0.6333333333333333,19,36.03927835728165,27.73857377881075,145.18642591922566,156.7326033687536
0.6666666666666666,20,36.64938092523813,26.71483021085884,145.9028134933089,157.61982987437904
0.7,21,35.775783665366895,27.96448771357552,147.74146124302257,157.15458694829832
0.7333333333333333,22,34.33568331076403,28.149641278542177,149.33248048095592,156.4134492871936
0.7666666666666667,23,34.19040243572983,28.353205015808694,149.27269259486087,154.45849171611343
0.8,24,33.350208882532556,28.28028960222723,147.8915170967031,152.56241421569015
0.8333333333333334,25,33.67733124572342,28.853100040460255,149.41407024572135,153.98995102397862
0.8666666666666667,26,34.408806491882814,34.91822023145375,149.2937255192024,150.17446404155112
0.9,27,34.56234883847518,34.087320437984324,155.35487324880356,152.01044318518848
0.9333333333333333,28,37.57967808698446,35.35980934322309,152.80114062336364,154.71519735478626
0.9666666666666667,29,40.073501329525584,36.82265410370205,152.47143017426347,153.978217830523
1.0,30,39.541994271232724,37.736983138595384,152.7596281520013,152.6137547073723
1.0333333333333334,31,39.357660540954896,38.492364055534104,152.55604696374624,152.429668233987
1.0666666666666667,32,39.41609317557131,37.955646233800906,153.8534150848668,153.18308084787455
1.1,33,39.24178077590742,37.57696039870605,155.1607641210513,154.31289579219157
1.1333333333333333,34,39.57637651518511,39.344050886412234,155.13658916699708,154.37754828983662
1.1666666666666667,35,39.48353750881002,39.69644520452586,154.73115720956102,154.91841343162812
1.2,36,39.8663516909936,39.39810908811065,154.2908438093074,155.7505419585834
1.2333333333333334,37,41.40621166077726,39.713725979966206,153.46025171077133,154.4676537869177
1.2666666666666666,38,43.688633994152816,41.26517025937576,152.2717848680849,153.6169617427155
1.3,39,47.57907777042592,45.38572459957365,153.7945627544099,154.8794148933684
1.3333333333333333,40,48.240864468251715,47.70142718492267,154.4685928362605,154.09990047508055
1.3666666666666667,41,48.30445195149729,47.814234988596695,155.0448847353455,154.556414619934
1.4,42,46.79583381437772,47.90998506954925,159.88463623924872,155.71853654394127
1.4333333333333333,43,47.38665089244525,49.59048421685077,159.6696574246373,154.7701977719433
1.4666666666666666,44,45.94662232423946,49.35812986037196,158.10679580286387,154.31904006839105
1.5,45,45.72681391065857,48.51761330020358,158.26523241295976,154.7195553632444
1.5333333333333334,46,46.780427171822446,49.13212955733172,158.29438033316933,155.00032252282523
1.5666666666666667,47,47.377216875897645,48.607527288355115,154.19965654170431,157.6620803261076
1.6,48,50.23784902582988,51.888011309996514,154.1147285597327,156.1088396045821
1.6333333333333333,49,50.55675375559135,51.89426751892837,154.15459533976025,154.67275769626798
1.6666666666666667,50,51.42262191176739,52.08712698702716,151.7256976063832,153.61550335524947
1.7,51,52.12027228977605,53.026870849058426,150.48162437758887,154.0856181891234
1.7333333333333334,52,52.781588162450895,52.94406390393255,150.87920339054517,153.61627043917755
1.7666666666666666,53,56.144936139407264,51.79277955445658,150.34869744468733,154.8602286357466
1.8,54,54.715219629219014,51.08001695115307,150.8865621330842,154.72208510589655
1.8333333333333333,55,54.78634022293934,50.90181011537834,152.02951993208197,155.1690222738907
1.8666666666666667,56,53.344755490149915,50.950176169268964,155.02933491671286,156.36871846146636
1.9,57,52.537956022917115,51.673558149106,156.44397125394852,154.30588817152176
1.9333333333333333,58,52.165484295375876,51.68949205526021,157.4544571872396,153.8040520142872
1.9666666666666666,59,54.96255610262457,51.88950573331082,156.5997696345654,155.04943203726924
2.0,60,59.072191870106586,50.247750884801626,148.55078990197273,147.30616171079618
2.033333333333333,61,57.184369737935775,50.34507331915529,150.02350770227469,147.63824887294746
2.066666666666667,62,56.28546082452893,49.9808673709626,151.5751537405188,147.09128202767542
2.1,63,56.345453363061274,50.034045109749265,154.6368652858587,151.33145504082682
2.1333333333333333,64,55.20985552518096,49.37211953428352,156.26824828945126,154.48165013551414
2.1666666666666665,65,54.56278351023561,48.76633312906782,156.48596525568064,154.72665991037772
