timestamp, angle_right_elbow, angle_left_elbow, angle_left_knee, angle_right_knee, angle_right_shoulder, angle_left_shoulder
0.016666666666666666,182.80307763977643, 349.36090231497946, 180.63517659906046, 183.22505312167002, 197.48462218285974, 174.31368990710973
0.03333333333333333,181.4196494934554, 356.2359612755372, 182.0604804525, 183.59549423960152, 199.2430091430529, 174.30465626805403
0.05,181.61781134927975, 356.68231791348893, 186.66277271589095, 183.4446519716865, 200.45966095248951, 176.7425034720903
0.06666666666666667,181.40829770268817, 359.67498974646645, 188.8268897761479, 183.7353733177979, 200.70632467517936, 177.84178648785252
0.08333333333333333,177.6247093831239, 352.6409661457821, 192.0138578702954, 183.59925734076043, 202.7645202092747, 180.8257816644394
0.1,177.03168806878702, 352.4638272094571, 193.3067050258538, 184.22487159694873, 203.15429098795687, 181.87624297282116
0.11666666666666667,176.48312695647036, 350.38686751338815, 193.28559150834843, 184.05644244868753, 203.52318600394193, 182.6146799379316
0.13333333333333333,176.05974487867417, 348.30959549607394, 192.76837302021542, 184.61369576264565, 203.1686922206204, 173.65422121508917
0.15,176.31235635101748, 124.76108283824364, 192.49472610562205, 184.8326948708223, 202.90649224447134, 171.3287663206346
0.16666666666666666,175.98251165862243, 123.2152907020393, 191.76430368357393, 184.44351340714942, 202.87066072875572, 170.88364623027113
0.18333333333333332,172.2469575525463, 169.44322208628358, 189.6557390924282, 184.9602572708656, 201.12137667735658, 166.11799983753326
0.2,172.13197132772157, 173.81778928047194, 189.24069426157274, 184.79302120593698, 200.3155906851604, 164.04145851223947
0.21666666666666667,171.33963283456234, 181.2442360490496, 187.31361507664496, 185.25860919273956, 194.45817961856824, 164.904918644557
0.23333333333333334,174.54181811270593, 181.46223508586618, 187.151161409329, 185.78791069095945, 192.07695783881059, 165.1120150606271
0.25,10.281937001844643, 183.23394613131023, 187.14939006788896, 188.67683338648308, 182.01184278815452, 166.39088572118084
0.26666666666666666,134.13603887687773, 181.79437417911984, 187.0797142574013, 189.7256097433955, 182.34988106061417, 167.82231779516928
0.2833333333333333,148.44922729101057, 180.11727109622453, 185.023107003649, 191.16575735225499, 183.37975171632112, 172.54743655094035
0.3,148.96382117121445, 179.01213461242068, 186.63381468689124, 191.70999160970675, 180.82138793877198, 174.2389036526573
0.31666666666666665,116.09450188657198, 173.54336980388484, 184.50968127751588, 193.92216654016883, 181.64835407449078, 186.16531023147843
0.3333333333333333,118.24537100495812, 171.22088298392663, 184.02054147568506, 195.5695051541358, 180.20686004011728, 189.02299519098275
0.35,115.96351686141412, 172.46246302519359, 185.20406707573048, 197.10159327849846, 179.79578596769045, 189.04729337251632
0.36666666666666664,114.03773041839204, 171.11015260916568, 184.1182084678851, 197.93212488269816, 180.87539340873775, 189.60841772374187
0.38333333333333336,59.202296590038124, 172.85702882384578, 177.9965636586687, 200.04791615978135, 178.17468232981363, 194.17046603547772
0.4,49.67158154350226, 173.71172165060557, 172.72618390242036, 200.60389426082176, 178.25555685378484, 194.61233323388117
0.4166666666666667,26.805664728765027, 176.97413058864004, 168.32218369582282, 211.5257160910718, 159.81187640098506, 197.15928716774388
0.43333333333333335,27.55497545562019, 178.6281206365325, 170.11506700460808, 214.84092794539933, 159.9448564657114, 196.48646553107568
0.45,26.769941630041608, 177.38478123934428, 171.61664081749151, 218.37036828688835, 163.42717530220412, 196.66461639639897
0.4666666666666667,96.42382263067933, 185.64165072185924, 172.3007303696607, 223.04793730168845, 174.72002468337456, 196.75019102565636
0.48333333333333334,42.446565631278915, 177.92942165820077, 174.02818679395602, 222.84061963327915, 175.6223705545884, 200.6356939182797
0.5,95.27414853483054, 184.0828772431136, 175.2508034772603, 223.11226330640267, 182.20903369640814, 200.3750041333676
0.5166666666666667,28.18818429165452, 300.8316263066413, 175.5521071347733, 225.3903076823874, 172.3546290177456, 198.74995534890223
0.5333333333333333,29.63380114747622, 359.28425958809805, 175.1607866182911, 224.2907436753254, 171.64942284228945, 196.22189619687782
0.55,29.79144991700116, 168.16961681893176, 176.8530680965094, 222.39200653495323, 168.15125872908035, 197.98381661031044
0.5666666666666667,30.62661261857869, 171.54494949526898, 177.86989146528427, 219.833356151633, 166.48911374418537, 197.48255517855569
0.5833333333333334,31.906063250314734, 180.0778089667746, 179.18183051843124, 218.4629724088737, 163.92965773521027, 194.6953168330779
0.6,34.35847732833255, 176.45795697514947, 181.33306839348438, 218.08920943672234, 163.90146461659808, 197.53678844075293
0.6166666666666667,47.346220901961374, 174.22323134053332, 181.05318396239377, 211.75371574143875, 167.69197181324813, 198.88062844619205
0.6333333333333333,43.76709622765823, 178.53386087896257, 181.6383798361503, 209.28340975299176, 168.2953340084896, 195.89093643745534
0.65,99.71119868873308, 167.25783776358156, 185.9518988444023, 207.4125921804582, 171.84517630954537, 191.8930361970738
0.6666666666666666,106.10750841037641, 167.0701522935, 187.3127285714561, 206.0465181845899, 174.29355982980152, 190.4944847340954
0.6833333333333333,133.91770281671705, 165.5367602953885, 192.31655233820752, 201.70227716740277, 177.1239075731586, 186.42970186461181
0.7,135.49550096182722, 170.09146050516046, 192.36624823879617, 200.74707204265738, 178.34238354332584, 184.14809870451973
0.7166666666666667,184.83983941685636, 165.9210603015875, 196.5364596596787, 196.94169217448245, 199.89423516817203, 179.26253162170812
0.7333333333333333,180.49169496790793, 164.74647831973405, 197.49482083935484, 195.92853500189045, 205.107899680332, 178.3047762551617
0.75,147.4282526470173, 158.22707141679388, 195.87615196458523, 195.93544268657683, 219.4479518096707, 177.1315601017101
